iter	Passed	Remaining
433	1368	1784
434	1374	1784
435	1375	1779
436	1377	1775
437	1379	1770
438	1381	1765
439	1383	1760
440	1384	1755
441	1386	1750
442	1388	1745
443	1390	1741
444	1392	1736
445	1393	1731
446	1395	1726
447	1397	1722
448	1399	1717
449	1401	1712
450	1402	1707
451	1404	1703
452	1407	1699
453	1414	1700
454	1419	1700
455	1423	1697
456	1424	1692
457	1426	1688
458	1428	1683
459	1430	1679
460	1432	1674
461	1433	1669
462	1435	1665
463	1437	1660
464	1439	1655
465	1440	1651
466	1442	1646
467	1444	1642
468	1446	1637
469	1448	1633
470	1450	1628
471	1451	1624
472	1453	1619
473	1459	1619
474	1464	1618
475	1468	1616
476	1471	1612
477	1472	1608
478	1474	1604
479	1476	1599
480	1478	1595
481	1480	1590
482	1482	1586
483	1483	1581
484	1485	1577
485	1487	1573
486	1489	1568
487	1491	1564
488	1492	1560
489	1494	1555
490	1496	1551
491	1498	1547
492	1500	1542
493	1502	1538
494	1505	1536
495	1509	1534
496	1513	1531
497	1517	1530
498	1519	1525
499	1521	1521
500	1523	1517
501	1525	1512
502	1526	1508
503	1528	1504
504	1530	1500
505	1532	1495
506	1534	1491
507	1535	1487
508	1537	1483
509	1539	1479
510	1541	1474
511	1543	1470
512	1544	1466
513	1546	1462
514	1548	1458
515	1551	1455
516	1555	1453
517	1559	1450
518	1563	1448
519	1566	1446
520	1568	1441
521	1570	1437
522	1571	1433
523	1573	1429
524	1575	1425
525	1577	1421
526	1579	1417
527	1581	1413
528	1582	1409
529	1584	1405
530	1586	1401
531	1588	1397
532	1589	1393
533	1591	1389
534	1593	1385
535	1595	1380
536	1597	1377
537	1600	1374
538	1604	1372
539	1608	1370
540	1613	1368
541	1615	1364
542	1617	1360
543	1618	1356
544	1621	1353
545	1624	1351
546	1626	1347
547	1628	1343
548	1631	1340
549	1633	1336
550	1635	1332
551	1638	1329
552	1640	1325
553	1641	1321
554	1643	1317
555	1645	1314
556	1649	1312
557	1653	1309
558	1658	1308
559	1661	1305
560	1663	1301
561	1665	1298
562	1667	1294
563	1669	1290
564	1671	1286
565	1672	1282
566	1674	1278
567	1676	1275
568	1678	1271
569	1680	1267
570	1681	1263
571	1683	1259
572	1686	1256
573	1688	1252
574	1689	1249
575	1691	1245
576	1693	1241
577	1697	1239
578	1701	1236
579	1705	1234
580	1709	1232
581	1711	1228
582	1712	1225
583	1714	1221
584	1716	1217
585	1718	1213
586	1720	1210
587	1721	1206
588	1723	1202
589	1725	1199
590	1727	1195
591	1729	1191
592	1730	1188
593	1732	1184
594	1734	1180
595	1736	1176
596	1738	1173
597	1739	1169
598	1742	1166
599	1746	1164
600	1751	1162
601	1757	1161
602	1759	1158
603	1761	1154
604	1763	1151
605	1764	1147
606	1766	1143
607	1768	1140
608	1770	1136
609	1772	1132
610	1773	1129
611	1775	1125
612	1777	1122
613	1779	1118
614	1781	1115
615	1782	1111
616	1784	1107
617	1786	1104
618	1790	1102
619	1795	1100
620	1799	1098
621	1803	1095
622	1804	1092
623	1806	1088
624	1808	1085
625	1810	1081
626	1812	1078
627	1813	1074
628	1815	1070
629	1817	1067
630	1819	1063
631	1821	1060
632	1823	1056
633	1824	1053
634	1826	1049
635	1828	1046
636	1830	1043
637	1832	1039
638	1833	1036
639	1836	1033
640	1841	1031
641	1845	1028
642	1848	1026
643	1851	1023
644	1853	1020
645	1855	1016
646	1857	1013
647	1858	1009
648	1860	1006
649	1862	1002
650	1864	999
651	1865	995
652	1867	992
653	1869	989
654	1871	985
655	1873	982
656	1874	978
657	1876	975
658	1878	972
659	1880	968
660	1882	965
661	1885	962
662	1889	960
663	1893	958
664	1898	956
665	1900	952
666	1901	949
667	1903	946
668	1905	942
669	1907	939
670	1909	936
671	1910	932
672	1912	929
673	1914	926
674	1916	922
675	1918	919
676	1919	915
677	1921	912
678	1923	909
679	1925	906
680	1927	902
681	1928	899
682	1930	896
683	1935	894
684	1939	891
685	1943	889
686	1947	887
687	1948	883
688	1950	880
689	1952	877
690	1954	873
691	1956	870
692	1958	867
693	1959	864
694	1961	860
695	1963	857
696	1965	854
697	1967	851
698	1968	847
699	1970	844
700	1972	841
701	1974	838
702	1976	834
703	1977	831
704	1980	828
705	1985	826
706	1989	824
707	1993	822
708	1996	819
709	1997	816
710	1999	812
711	2001	809
712	2003	806
713	2005	803
714	2006	799
715	2008	796
716	2010	793
717	2012	790
718	2014	787
719	2015	783
720	2017	780
721	2019	777
722	2021	774
723	2023	771
724	2024	768
725	2026	764
726	2031	762
727	2035	760
728	2039	758
729	2043	755
730	2045	752
731	2046	749
732	2048	746
733	2050	743
734	2052	739
735	2054	736
736	2055	733
737	2057	730
738	2059	727
739	2061	724
740	2063	721
741	2065	718
742	2067	715
743	2069	712
744	2071	708
745	2072	705
746	2075	702
747	2079	700
748	2083	698
749	2087	695
750	2091	693
751	2093	690
752	2096	687
753	2098	684
754	2100	681
755	2102	678
756	2105	675
757	2107	672
758	2110	670
759	2112	667
760	2114	664
761	2116	661
762	2118	657
763	2120	654
764	2121	651
765	2125	649
766	2129	646
767	2133	644
768	2137	642
769	2139	639
770	2141	636
771	2143	633
772	2145	630
773	2147	626
774	2148	623
775	2150	620
776	2152	617
777	2154	614
778	2156	611
779	2158	608
780	2160	605
781	2162	602
782	2164	599
783	2166	596
784	2167	593
785	2169	590
786	2173	588
787	2177	585
788	2181	583
789	2186	581
790	2187	578
791	2189	575
792	2191	572
793	2193	569
794	2195	566
795	2196	563
796	2198	560
797	2200	557
798	2202	554
799	2204	551
800	2206	548
801	2207	545
802	2209	542
803	2211	539
804	2213	536
805	2215	533
806	2216	530
807	2219	527
808	2222	524
809	2227	522
810	2231	520
811	2234	517
812	2236	514
813	2238	511
814	2240	508
815	2242	505
816	2243	502
817	2245	499
818	2247	496
819	2249	493
820	2251	490
821	2253	487
822	2254	484
823	2256	482
824	2258	479
825	2260	476
826	2261	473
827	2263	470
828	2265	467
829	2270	464
830	2276	462
831	2280	460
832	2282	457
833	2284	454
834	2286	451
835	2288	448
836	2290	446
837	2292	443
838	2293	440
839	2295	437
840	2297	434
841	2299	431
842	2301	428
843	2302	425
844	2305	422
845	2306	419
846	2308	417
847	2310	414
848	2312	411
849	2314	408
850	2318	405
851	2322	403
852	2327	401
853	2331	398
854	2332	395
855	2334	392
856	2336	389
857	2338	386
858	2340	384
859	2341	381
860	2343	378
861	2345	375
862	2347	372
863	2349	369
864	2350	366
865	2352	364
866	2354	361
867	2356	358
868	2358	355
869	2359	352
870	2361	349
871	2365	347
872	2370	344
873	2374	342
874	2378	339
875	2380	336
876	2382	334
877	2384	331
878	2385	328
879	2387	325
880	2389	322
881	2391	319
882	2393	317
883	2394	314
884	2396	311
885	2398	308
886	2400	305
887	2402	302
888	2403	300
889	2405	297
890	2407	294
891	2409	291
892	2412	289
893	2416	286
894	2421	284
895	2425	281
896	2427	278
897	2429	275
898	2431	273
899	2432	270
900	2434	267
901	2436	264
902	2438	261
903	2440	259
904	2441	256
905	2443	253
906	2445	250
907	2447	247
908	2449	245
909	2450	242
910	2452	239
911	2454	236
912	2456	234
913	2458	231
914	2462	228
915	2466	226
916	2470	223
917	2474	221
918	2476	218
919	2478	215
920	2480	212
921	2482	209
922	2483	207
923	2485	204
924	2487	201
925	2489	198
926	2491	196
927	2492	193
928	2494	190
929	2496	187
930	2498	185
931	2500	182
932	2501	179
933	2503	176
934	2505	174
935	2509	171
936	2512	168
937	2517	166
938	2520	163
939	2523	161
940	2525	158
941	2526	155
942	2528	152
943	2530	150
944	2532	147
945	2534	144
946	2536	141
947	2538	139
948	2539	136
949	2541	133
950	2543	131
951	2545	128
952	2547	125
953	2548	122
954	2550	120
955	2552	117
956	2554	114
957	2559	112
958	2563	109
959	2567	106
960	2570	104
961	2572	101
962	2574	98
963	2578	96
964	2580	93
965	2582	90
966	2584	88
967	2586	85
968	2587	82
969	2589	80
970	2591	77
971	2594	74
972	2596	72
973	2598	69
974	2600	66
975	2601	63
976	2606	61
977	2610	58
978	2614	56
979	2618	53
980	2620	50
981	2621	48
982	2623	45
983	2625	42
984	2627	40
985	2629	37
986	2631	34
987	2632	31
988	2634	29
989	2636	26
990	2638	23
991	2640	21
992	2642	18
993	2644	15
994	2645	13
995	2647	10
996	2649	7
997	2653	5
998	2657	2
999	2662	0
